year,exporter_code,importer_code,product_code,import_value_kusd,quantity_tons,product_description,product_group,exporter_name,exporter_iso3,importer_name,importer_iso3
2013,40,156,848610,4678.041,35.705,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Austria,AUT,China,CHN
2013,208,156,848610,2748.751,20.603,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Denmark,DNK,China,CHN
2013,251,156,848610,517.756,4.046,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,France,FRA,China,CHN
2013,276,156,848610,55404.858,342.016,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Germany,DEU,China,CHN
2013,344,156,848610,2347.0,19.543,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,"China, Hong Kong SAR",HKG,China,CHN
2013,376,156,848610,952.045,7.367,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Israel,ISR,China,CHN
2013,380,156,848610,4.012,0.031,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Italy,ITA,China,CHN
2013,392,156,848610,130833.191,1038.287,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Japan,JPN,China,CHN
2013,410,156,848610,42969.844,353.195,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Rep. of Korea,KOR,China,CHN
2013,458,156,848610,19312.868,112.884,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Malaysia,MYS,China,CHN
2013,490,156,848610,14953.126,168.325,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,"Other Asia, nes",S19,China,CHN
2013,528,156,848610,257.362,0.714,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Netherlands,NLD,China,CHN
2013,579,156,848610,210.476,921.282,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Norway,NOR,China,CHN
2013,616,156,848610,2312.0,18.068,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Poland,POL,China,CHN
2013,620,156,848610,207.426,3.826,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Portugal,PRT,China,CHN
2013,702,156,848610,47690.55,407.565,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Singapore,SGP,China,CHN
2013,724,156,848610,372.872,2.914,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Spain,ESP,China,CHN
2013,752,156,848610,185.169,1.482,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Sweden,SWE,China,CHN
2013,757,156,848610,45562.485,338.288,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Switzerland,CHE,China,CHN
2013,764,156,848610,2.706,0.021,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Thailand,THA,China,CHN
2013,804,156,848610,9096.521,129.947,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Ukraine,UKR,China,CHN
2013,826,156,848610,543.654,4.733,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,United Kingdom,GBR,China,CHN
2013,842,156,848610,27973.155,191.419,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,USA,USA,China,CHN
2014,36,156,848610,40338.0,235.796,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Australia,AUS,China,CHN
2014,40,156,848610,492.0,4.232,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Austria,AUT,China,CHN
2014,124,156,848610,496.947,3.151,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Canada,CAN,China,CHN
2014,208,156,848610,26.182,0.612,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Denmark,DNK,China,CHN
2014,251,156,848610,675.571,5.816,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,France,FRA,China,CHN
2014,276,156,848610,70197.382,495.909,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Germany,DEU,China,CHN
2014,340,156,848610,0.004,0.005,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Honduras,HND,China,CHN
