product_code,exporter_code,year,exporter_name,exporter_iso3,product_description,product_group,import_value_kusd,quantity_tons,importer_code,importer_name,importer_iso3,US,Post2018,Post2022,Post2023,US_Post2018,US_Post2022,US_Post2023,Period_2018_2021,Period_2022,Period_2023_2024,US_Period_2018_2021,US_Period_2022,US_Period_2023_2024,ln_import_value,asinh_import_value,product_year_total_kusd,import_share,post2018_label
848620,392,2008,Japan,JPN,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,603327.748,1863.841,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,13.310217514545018,14.003363037633116,2330789.952,0.2588511879769765,pre-2018
848620,392,2009,Japan,JPN,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,417623.438,2558.892,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,12.942337833953273,13.635482620015896,1718548.232,0.2430094368163186,pre-2018
848620,392,2010,Japan,JPN,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,800779.852,3322.841,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,13.593342595608362,14.286488527386808,4230023.173,0.1893086206031524,pre-2018
848620,392,2011,Japan,JPN,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,876222.304,3232.247,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,13.683376250675678,14.376522289973709,6334163.036,0.13833276772637842,pre-2018
848620,392,2012,Japan,JPN,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,685632.678,1889.449,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,13.438098766996253,14.131244489050882,2468393.926,0.27776469176095353,pre-2018
848620,392,2013,Japan,JPN,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,774613.001,5131.291,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,13.56012012103499,14.253266010628955,2997606.8660000004,0.2584104706277384,pre-2018
848620,392,2014,Japan,JPN,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,895315.071,6387.531,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,13.704932086868824,14.398078150504467,4141476.0659999996,0.21618260174197518,pre-2018
848620,392,2015,Japan,JPN,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,904190.016,5656.812,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,13.714795917938382,14.40794199253702,4499493.777,0.20095372075452922,pre-2018
848620,392,2016,Japan,JPN,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,1212494.146,6683.96,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,14.008190898486793,14.701337254300999,5252597.518,0.230837055731937,pre-2018
848620,392,2017,Japan,JPN,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,1574640.79,7818.849,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,14.269538369453992,14.962684914948765,6602496.921,0.23849171136932668,pre-2018
848620,392,2018,Japan,JPN,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,2886575.542,12146.07,156,China,CHN,0,1,0,0,0,0,0,1,0,0,0,0,0,14.875581770366956,15.568728604495732,11170503.327,0.25841051718975955,2018+
848620,392,2019,Japan,JPN,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,2964422.341,13274.298,156,China,CHN,0,1,0,0,0,0,0,1,0,0,0,0,0,14.902193082797066,15.595339926023247,10545700.397,0.28110246161016555,2018+
848620,392,2020,Japan,JPN,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,4046891.282,16260.195,156,China,CHN,0,1,0,0,0,0,0,1,0,0,0,0,0,15.21345980675062,15.906606740207359,13911202.336,0.29090880746715064,2018+
848620,392,2021,Japan,JPN,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,6777504.719,28869.91,156,China,CHN,0,1,0,0,0,0,0,1,0,0,0,0,0,15.72911970417607,16.422266737189105,21386953.645,0.31689902318484214,2018+
848620,392,2022,Japan,JPN,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,5839381.88,26835.455,156,China,CHN,0,1,1,0,0,0,0,0,1,0,0,0,0,15.580135677987935,16.2732826872969,18350460.652,0.31821445743181226,2018+
848620,392,2023,Japan,JPN,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,7495050.072,31099.824,156,China,CHN,0,1,1,1,0,0,0,0,0,1,0,0,0,15.829753503638381,16.52290055077695,26567329.043,0.2821153025909771,2018+
848620,392,2024,Japan,JPN,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,9781618.502,34631.01,156,China,CHN,0,1,1,1,0,0,0,0,0,1,0,0,0,16.096015621553484,16.78916269988087,33096810.847,0.29554565082474216,2018+
848620,410,2008,Rep. of Korea,KOR,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,107732.895,316.059,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,11.587419530437476,12.280557428846057,2330789.952,0.04622162323445609,pre-2018
848620,410,2009,Rep. of Korea,KOR,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,95332.23,398.076,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,11.465133717217208,12.158270408227787,1718548.232,0.055472536775447334,pre-2018
848620,410,2010,Rep. of Korea,KOR,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,269468.493,1389.551,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,12.504210464407983,13.197353933969268,4230023.173,0.06370378647568699,pre-2018
848620,410,2011,Rep. of Korea,KOR,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,275643.35,1153.401,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,12.526866726800689,13.22001027949412,6334163.036,0.043516933244911814,pre-2018
848620,410,2012,Rep. of Korea,KOR,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,151651.405,750.599,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,11.929346371876568,12.622486958398994,2468393.926,0.06143727846784533,pre-2018
848620,410,2013,Rep. of Korea,KOR,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,460512.813,2141.028,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,13.040098129884532,13.733243138955775,2997606.8660000004,0.15362682085610088,pre-2018
848620,410,2014,Rep. of Korea,KOR,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,573851.223,2148.372,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,13.260127190935936,13.953272628886207,4141476.0659999996,0.13856200394615537,pre-2018
848620,410,2015,Rep. of Korea,KOR,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,653791.908,3567.693,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,13.390545925859483,14.083691576882522,4499493.777,0.1453034364314446,pre-2018
848620,410,2016,Rep. of Korea,KOR,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,324716.954,1334.792,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,12.69071225067992,13.38385635164184,5252597.518,0.06182026185848721,pre-2018
848620,410,2017,Rep. of Korea,KOR,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,264081.864,1513.871,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,12.48401821166669,13.177161605532826,6602496.921,0.03999727181394925,pre-2018
848620,410,2018,Rep. of Korea,KOR,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,467696.646,1588.692,156,China,CHN,0,1,0,0,0,0,0,1,0,0,0,0,0,13.055577310560409,13.748722352985721,11170503.327,0.04186889635219389,2018+
848620,410,2019,Rep. of Korea,KOR,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,1250779.436,5539.628,156,China,CHN,0,1,0,0,0,0,0,1,0,0,0,0,0,14.039278263253859,14.732424644312813,10545700.397,0.11860562967973345,2018+
848620,410,2020,Rep. of Korea,KOR,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,1280322.674,5350.313,156,China,CHN,0,1,0,0,0,0,0,1,0,0,0,0,0,14.062623474241992,14.755769873749289,13911202.336,0.09203537142772532,2018+
848620,410,2021,Rep. of Korea,KOR,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,2196086.074,9867.787,156,China,CHN,0,1,0,0,0,0,0,1,0,0,0,0,0,14.602187732009442,15.295334457213984,21386953.645,0.10268344479782501,2018+
848620,410,2022,Rep. of Korea,KOR,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,1435195.01,7174.326,156,China,CHN,0,1,1,0,0,0,0,0,1,0,0,0,0,14.17681199018247,14.869958473973355,18350460.652,0.0782102987612782,2018+
848620,410,2023,Rep. of Korea,KOR,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,1118483.485,5657.945,156,China,CHN,0,1,1,1,0,0,0,0,0,1,0,0,0,13.927485188559968,14.620631475052773,26567329.043,0.04209995981115383,2018+
848620,410,2024,Rep. of Korea,KOR,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,1523021.892,5530.054,156,China,CHN,0,1,1,1,0,0,0,0,0,1,0,0,0,14.236207662624482,14.92935418659537,33096810.847,0.04601717969264859,2018+
848620,458,2008,Malaysia,MYS,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,4375.296,13.852,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,8.383957983496122,9.076876647265333,2330789.952,0.0018771730143446234,pre-2018
848620,458,2009,Malaysia,MYS,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,1556.146,11.745,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3506099375085086,8.043114814468606,1718548.232,0.0009055003351223953,pre-2018
848620,458,2010,Malaysia,MYS,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,2593.564,27.813,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,7.86117376606956,8.553935488290254,4230023.173,0.0006131323385069313,pre-2018
